~/FFmpeg/CWE-189-Numeric-Errors/CVE_2011_4031_c2a2ad133eb9d42361804a568dee336992349a5e/Resultasfrtp_parse_packet_SnippetNEQ.smt2~/FFmpeg/CWE-189-Numeric-Errors/CVE_2011_4031_c2a2ad133eb9d42361804a568dee336992349a5e/Resultasfrtp_parse_packet_SnippetEQ.smt2Satisfiability of solver : sat
rdx
rdi
rsi
R
Calculate for 32 bits
Multi dimensional divide N search
i = 0 is rdx
[-2147483648, 2147483647, 'rdx']
i = 1 is rdi
[-2147483648, 2147483647, 'rdi']
i = 2 is rsi
[-2147483648, 2147483647, 'rsi']
total equivalence in range [(-2147483648, -1, 'rdx'), (-2147483648, -1, 'rdi'), (-2147483648, -1, 'rsi')]
total nonequivalence in range[(1879048191, 2147483647, 'rdx'), (1073741823, 1342177279, 'rdi'), (1342177279, 1610612735, 'rsi')]
total equivalence in range [(1879048191, 2147483647, 'rdx'), (1342177279, 1610612735, 'rdi'), (1073741823, 1342177279, 'rsi')]
total nonequivalence in range[(1610612735, 2147483647, 'rdx'), (1073741823, 1610612735, 'rdi'), (1610612735, 2147483647, 'rsi')]
total equivalence in range [(1610612735, 2147483647, 'rdx'), (1610612735, 2147483647, 'rdi'), (1073741823, 1610612735, 'rsi')]
total nonequivalence in range[(1610612735, 1879048191, 'rdx'), (1610612735, 1879048191, 'rdi'), (1879048191, 2147483647, 'rsi')]
total equivalence in range [(1610612735, 1879048191, 'rdx'), (1879048191, 2147483647, 'rdi'), (1610612735, 1879048191, 'rsi')]
total nonequivalence in range[(1879048191, 2147483647, 'rdx'), (1610612735, 1879048191, 'rdi'), (1879048191, 2147483647, 'rsi')]
total equivalence in range [(1879048191, 2147483647, 'rdx'), (1879048191, 2147483647, 'rdi'), (1610612735, 1879048191, 'rsi')]
----------EQ-----------
---------NEQ-----------
