~/qemu/CWE-189-Numeric-Errors/CVE_2016_2538_fe3c546c5ff2a6210f9a4d8561cc64051ca8603e/cve1/Resultrndis_query_responseNEQ.smt2~/qemu/CWE-189-Numeric-Errors/CVE_2016_2538_fe3c546c5ff2a6210f9a4d8561cc64051ca8603e/cve1/Resultrndis_query_response2EQ.smt2Satisfiability of solver : sat
rdi
rsi
rdx
R
Calculate for 32 bits
Multi dimensional divide N search
i = 0 is rdi
[-2147483648, 2147483647, 'rdi']
i = 1 is rsi
[-2147483648, 2147483647, 'rsi']
i = 2 is rdx
[-2147483648, 2147483647, 'rdx']
total nonequivalence in range[(-2147483648, -1073741825, 'rdi'), (-2147483648, -1073741825, 'rsi'), (-2147483648, -1073741825, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (1610612735, 1879048191, 'rsi'), (-805306369, -536870913, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (1879048191, 2147483647, 'rsi'), (-1073741825, -805306369, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (1879048191, 2147483647, 'rsi'), (-805306369, -536870913, 'rdx')]
total nonequivalence in range[(268435455, 536870911, 'rdi'), (1610612735, 1879048191, 'rsi'), (-1073741825, -805306369, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (1610612735, 1879048191, 'rsi'), (-805306369, -536870913, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (1879048191, 2147483647, 'rsi'), (-1073741825, -805306369, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (1879048191, 2147483647, 'rsi'), (-805306369, -536870913, 'rdx')]
total equivalence in range [(-1, 536870911, 'rdi'), (1610612735, 2147483647, 'rsi'), (-536870913, -1, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (1073741823, 1610612735, 'rsi'), (-1073741825, -536870913, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (1073741823, 1610612735, 'rsi'), (-536870913, -1, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (1610612735, 2147483647, 'rsi'), (-1073741825, -536870913, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (1610612735, 2147483647, 'rsi'), (-536870913, -1, 'rdx')]
total equivalence in range [(1073741823, 2147483647, 'rdi'), (-1, 1073741823, 'rsi'), (-2147483648, -1073741825, 'rdx')]
total nonequivalence in range[(1073741823, 2147483647, 'rdi'), (-1, 1073741823, 'rsi'), (-1073741825, -1, 'rdx')]
total nonequivalence in range[(1073741823, 2147483647, 'rdi'), (1073741823, 2147483647, 'rsi'), (-2147483648, -1073741825, 'rdx')]
total nonequivalence in range[(1073741823, 2147483647, 'rdi'), (1073741823, 2147483647, 'rsi'), (-1073741825, -1, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (268435455, 536870911, 'rsi'), (268435455, 536870911, 'rdx')]
total nonequivalence in range[(268435455, 536870911, 'rdi'), (-1, 268435455, 'rsi'), (-1, 268435455, 'rdx')]
total nonequivalence in range[(268435455, 536870911, 'rdi'), (-1, 268435455, 'rsi'), (268435455, 536870911, 'rdx')]
total nonequivalence in range[(268435455, 536870911, 'rdi'), (268435455, 536870911, 'rsi'), (-1, 268435455, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (268435455, 536870911, 'rsi'), (268435455, 536870911, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (268435455, 536870911, 'rsi'), (536870911, 805306367, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (268435455, 536870911, 'rsi'), (805306367, 1073741823, 'rdx')]
total nonequivalence in range[(268435455, 536870911, 'rdi'), (-1, 268435455, 'rsi'), (536870911, 805306367, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (-1, 268435455, 'rsi'), (805306367, 1073741823, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (268435455, 536870911, 'rsi'), (536870911, 805306367, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (268435455, 536870911, 'rsi'), (805306367, 1073741823, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (536870911, 805306367, 'rsi'), (-1, 268435455, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (536870911, 805306367, 'rsi'), (268435455, 536870911, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (805306367, 1073741823, 'rsi'), (-1, 268435455, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (805306367, 1073741823, 'rsi'), (268435455, 536870911, 'rdx')]
total nonequivalence in range[(268435455, 536870911, 'rdi'), (536870911, 805306367, 'rsi'), (-1, 268435455, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (536870911, 805306367, 'rsi'), (268435455, 536870911, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (805306367, 1073741823, 'rsi'), (-1, 268435455, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (805306367, 1073741823, 'rsi'), (268435455, 536870911, 'rdx')]
total equivalence in range [(-1, 536870911, 'rdi'), (536870911, 1073741823, 'rsi'), (536870911, 1073741823, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (-1, 536870911, 'rsi'), (-1, 536870911, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (-1, 536870911, 'rsi'), (536870911, 1073741823, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (536870911, 1073741823, 'rsi'), (-1, 536870911, 'rdx')]
total equivalence in range [(536870911, 1073741823, 'rdi'), (536870911, 1073741823, 'rsi'), (536870911, 1073741823, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (268435455, 536870911, 'rsi'), (1073741823, 1342177279, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (268435455, 536870911, 'rsi'), (1342177279, 1610612735, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (-1, 268435455, 'rsi'), (1073741823, 1342177279, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (-1, 268435455, 'rsi'), (1342177279, 1610612735, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (268435455, 536870911, 'rsi'), (1073741823, 1342177279, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (268435455, 536870911, 'rsi'), (1342177279, 1610612735, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (268435455, 536870911, 'rsi'), (1610612735, 1879048191, 'rdx')]
total equivalence in range [(-1, 268435455, 'rdi'), (268435455, 536870911, 'rsi'), (1879048191, 2147483647, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (-1, 268435455, 'rsi'), (1610612735, 1879048191, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (-1, 268435455, 'rsi'), (1879048191, 2147483647, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (268435455, 536870911, 'rsi'), (1610612735, 1879048191, 'rdx')]
total equivalence in range [(268435455, 536870911, 'rdi'), (268435455, 536870911, 'rsi'), (1879048191, 2147483647, 'rdx')]
total equivalence in range [(-1, 536870911, 'rdi'), (536870911, 1073741823, 'rsi'), (1073741823, 1610612735, 'rdx')]
total equivalence in range [(-1, 536870911, 'rdi'), (536870911, 1073741823, 'rsi'), (1610612735, 2147483647, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (-1, 536870911, 'rsi'), (1073741823, 1610612735, 'rdx')]
total equivalence in range [(536870911, 1073741823, 'rdi'), (-1, 536870911, 'rsi'), (1610612735, 2147483647, 'rdx')]
total equivalence in range [(536870911, 1073741823, 'rdi'), (536870911, 1073741823, 'rsi'), (1073741823, 1610612735, 'rdx')]
total equivalence in range [(536870911, 1073741823, 'rdi'), (536870911, 1073741823, 'rsi'), (1610612735, 2147483647, 'rdx')]
total equivalence in range [(-1, 536870911, 'rdi'), (1073741823, 1610612735, 'rsi'), (-1, 536870911, 'rdx')]
total equivalence in range [(-1, 536870911, 'rdi'), (1073741823, 1610612735, 'rsi'), (536870911, 1073741823, 'rdx')]
total equivalence in range [(-1, 536870911, 'rdi'), (1610612735, 2147483647, 'rsi'), (-1, 536870911, 'rdx')]
total equivalence in range [(-1, 536870911, 'rdi'), (1610612735, 2147483647, 'rsi'), (536870911, 1073741823, 'rdx')]
total nonequivalence in range[(536870911, 1073741823, 'rdi'), (1073741823, 1610612735, 'rsi'), (-1, 536870911, 'rdx')]
total equivalence in range [(536870911, 1073741823, 'rdi'), (1073741823, 1610612735, 'rsi'), (536870911, 1073741823, 'rdx')]
total equivalence in range [(536870911, 1073741823, 'rdi'), (1610612735, 2147483647, 'rsi'), (-1, 536870911, 'rdx')]
total equivalence in range [(536870911, 1073741823, 'rdi'), (1610612735, 2147483647, 'rsi'), (536870911, 1073741823, 'rdx')]
total equivalence in range [(-1, 1073741823, 'rdi'), (1073741823, 2147483647, 'rsi'), (1073741823, 2147483647, 'rdx')]
total nonequivalence in range[(1073741823, 2147483647, 'rdi'), (-1, 1073741823, 'rsi'), (-1, 1073741823, 'rdx')]
total nonequivalence in range[(1073741823, 2147483647, 'rdi'), (-1, 1073741823, 'rsi'), (1073741823, 2147483647, 'rdx')]
total nonequivalence in range[(1073741823, 2147483647, 'rdi'), (1073741823, 2147483647, 'rsi'), (-1, 1073741823, 'rdx')]
total equivalence in range [(1073741823, 2147483647, 'rdi'), (1073741823, 2147483647, 'rsi'), (1073741823, 2147483647, 'rdx')]
----------EQ-----------
---------NEQ-----------
